id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63
31,1319.6,728.0,1333.8,821.3,1412.8,1245.8,1439.1,833.4,1397.4,902.3,1476.6,918.3,1534.9,1039.4,1576.1,888.7,1467.4,997.3,1524.7,988.6,1493.2,1041.6,1544.1,900.1,1483.0,1009.5,1531.2,946.3,1540.5,1032.4,1586.3,984.5,1514.1,1062.9,1615.5,1011.4,1562.1,1114.7,1664.7,1014.5,1567.6,1105.5,1630.6,1026.3,1600.8,1109.3,1676.7,979.0,1555.3,1040.0,1589.7,1018.9,1571.7,1086.7,1633.4,1012.3,1607.1,1073.9,1623.1,1062.2,1649.7,1118.9,1658.8,978.3
32,1353.7,741.1,1356.0,819.3,1721.0,859.2,1420.5,815.1,1407.3,850.2,1474.9,917.1,1510.2,960.2,1561.0,873.0,1477.1,922.3,1508.7,968.8,1514.4,991.7,1561.0,905.8,1466.1,942.0,1508.2,918.8,1527.9,957.0,1550.1,978.8,1554.1,983.7,1579.4,987.0,1577.9,1052.6,1962.6,990.8,1578.6,1031.7,1614.0,1066.8,1659.1,1102.4,1651.4,1006.4,1530.2,1000.5,1579.0,997.4,1562.7,1063.3,1638.7,994.7,1577.2,1019.9,1600.2,1028.0,1632.0,1094.7,1644.3,977.5
33,1380.5,778.3,1370.8,819.2,1419.2,850.0,1476.0,822.5,1432.3,867.8,1496.7,937.3,1534.2,966.4,1559.3,896.2,1508.1,917.1,1849.3,955.3,1561.0,970.5,1579.7,920.2,1502.3,935.6,1553.3,912.9,1532.7,975.0,1562.0,986.0,1617.4,984.4,1655.8,998.6,1602.8,1105.4,1694.6,1027.6,1598.0,1032.6,1628.5,1058.3,1649.4,1080.2,1680.2,990.7,1579.3,1013.3,1609.6,1014.0,1619.2,1038.0,1635.3,1030.3,1589.1,1061.0,1613.7,1046.2,1646.2,1093.7,1702.6,1008.3
34,1418.1,787.0,1383.9,870.0,1507.5,959.9,1562.5,873.1,1495.9,968.5,1581.9,1012.2,1595.0,1367.7,1959.5,926.8,1561.0,1050.9,1631.4,975.8,1604.5,1069.8,1671.1,962.2,1583.5,1038.5,1643.5,974.0,1606.7,1068.4,1642.7,1015.1,1644.3,1106.8,1682.8,1040.2,1684.5,1145.2,1744.8,1086.4,1671.1,1170.3,1719.1,1066.8,1695.2,1171.4,2059.3,1014.2,1655.8,1099.2,1710.3,1055.4,1642.9,1124.1,1730.1,1065.4,1681.4,1117.7,1753.2,1103.1,1686.4,1187.9,1737.4,1021.9
35,1442.2,792.6,1430.6,859.5,1514.0,886.9,1518.2,871.6,1524.2,941.8,1529.1,978.8,1603.3,1013.4,1650.0,943.7,1586.3,967.3,1603.9,952.5,1582.9,1034.3,1668.6,940.8,1577.9,968.2,1603.8,959.9,1607.3,1043.7,1613.6,1038.4,1692.3,1028.9,1642.3,1065.5,1644.7,1101.9,1778.4,1044.6,1719.9,1061.5,1697.4,1107.0,1730.9,1395.2,1740.6,1041.1,1660.3,1061.2,1695.2,1047.3,1684.9,1103.6,1729.4,1047.7,1686.5,1089.5,1695.0,1077.1,1736.8,1128.1,1743.1,1014.2
36,1455.6,779.1,1448.7,858.1,1518.4,926.4,1558.0,866.7,1566.7,919.4,1578.8,974.9,1647.4,992.3,1656.2,940.9,1628.3,973.0,1649.2,995.3,1616.8,1002.4,1646.0,951.0,1579.5,1009.4,1674.6,998.7,1615.5,1003.1,1648.2,1042.2,1689.8,1093.5,1706.9,1053.1,1722.3,1085.5,1745.5,1099.2,1666.4,1113.7,1730.2,1090.1,1773.6,1171.0,1752.9,1028.4,1703.0,1035.8,1694.2,1055.0,1683.3,1090.0,1753.4,1046.8,1721.8,1075.7,1719.5,1131.7,1754.0,1140.4,1791.6,1063.9
37,1522.0,810.2,1499.0,919.3,1617.6,993.4,1651.0,913.0,1590.7,995.5,1665.9,1049.4,1687.2,1144.8,1786.7,1014.9,1639.9,1058.3,1708.9,1055.5,1691.9,1122.7,1770.1,988.9,1664.8,1079.4,1734.3,1037.6,1729.7,1113.3,1764.9,1068.5,1752.4,1157.0,1783.0,1104.5,1763.5,1224.2,1844.3,1120.6,1782.2,1178.0,1821.0,1135.5,1778.0,1194.6,1852.8,1047.2,1708.7,1180.2,1815.2,1085.5,1803.1,1183.5,1850.0,1099.6,2106.4,1181.9,1844.0,1133.3,1775.7,1221.6,1835.4,1061.6
38,1527.1,816.4,1525.5,894.1,1590.3,987.6,1620.9,901.5,1586.6,945.4,1644.4,1019.9,1712.1,1045.4,1717.6,989.2,1685.8,1028.6,1693.0,993.0,1717.8,1056.3,1725.1,974.4,1651.4,1029.1,1720.7,1004.6,1689.8,1065.7,1721.6,1070.1,1786.3,1080.2,1783.5,1056.5,1743.5,1142.6,1802.1,1109.1,1783.8,1109.9,1777.5,1132.3,2118.6,1172.3,1815.6,1100.3,1747.1,1101.3,1760.0,1096.6,1745.1,1136.0,1821.0,1106.4,1786.0,1098.4,1776.4,1166.7,1794.6,1154.0,1833.1,1065.7
39,1543.1,845.1,1565.6,902.8,1613.7,979.6,1637.9,911.4,1629.9,950.4,1662.7,1002.7,1744.9,1066.8,1738.9,989.6,1695.8,1011.6,1712.3,1025.2,1706.9,1053.6,1750.2,1029.2,1695.1,1064.9,1713.6,1040.2,1729.1,1071.7,1751.5,1065.8,1766.7,1103.9,1796.6,1113.8,1776.3,1173.9,1863.2,1079.1,1778.1,1106.3,1820.0,1189.6,1835.2,1180.5,1850.8,1074.7,1779.9,1106.1,1771.4,1067.6,1778.1,1135.9,1828.9,1092.4,1781.5,1135.1,1816.4,1125.0,1847.8,1159.4,1843.5,1078.6
40,1581.6,844.1,1552.5,973.1,1676.5,1033.8,1756.3,964.7,1672.2,1071.1,1742.6,1099.0,1778.9,1162.8,1870.1,1052.6,1786.3,1125.5,1816.6,1104.1,1789.0,1172.7,1869.5,1038.1,1733.1,1110.0,1821.9,1075.3,1822.6,1173.7,1865.8,1093.2,1826.9,1214.9,1876.2,1137.8,1875.4,1220.8,1959.6,1178.1,1876.9,1226.2,1938.8,1186.6,1898.1,1221.2,1914.0,1111.7,1815.5,1177.1,1889.4,1162.5,1837.3,1205.0,1941.4,1163.8,1859.8,1212.3,1930.3,1170.3,1869.5,1277.4,1936.8,1109.9
