id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49
21,22637.427,22941.885,22956.011,22942.417,22519.958,22943.86,22939.452,22937.317,22945.349,22690.119,43640.14,43941.158,43560.9,43643.917,43941.118,64943.586,64952.579,64943.811,64942.867,64935.093,85951.596,85934.365,85555.998,85637.128,85940.027,85645.948,85939.519,85657.941,85983.769,85723.031,106730.346,106947.464,106670.141,106812.5,106948.88,128040.992,127952.455,127991.059,127940.505,127958.071,148942.851,148650.741,148949.656,148942.319,148947.318,169956.299,169709.018,169938.958,170076.827,169728.48
22,24030.315,24027.997,23726.766,24040.19,24051.562,24069.48,23722.363,23861.136,23818.573,24034.108,45721.669,45817.763,46076.721,46040.468,46009.699,68086.629,68023.12,68001.577,68050.112,68048.754,89570.171,90106.459,90078.395,90030.396,90027.03,90047.761,90140.546,90156.399,90038.066,89776.179,111726.183,111761.224,112155.132,112044.874,112149.887,134044.588,133732.36,134034.099,134038.254,134024.081,155793.192,155722.123,156042.007,156044.348,156039.934,178045.018,178163.974,178089.694,178037.879,177828.503
23,24878.968,25160.831,24805.894,24900.793,24795.7,25136.623,25164.324,25124.387,25111.337,24801.534,47810.564,48112.612,48137.842,48132.167,48239.255,71139.015,71152.726,71129.908,71130.695,70881.999,94137.05,93994.689,93890.084,93878.686,94098.286,93708.144,94136.837,94170.307,94126.401,93872.331,116804.94,117131.637,116881.762,117137.999,117131.479,140048.076,139874.623,140160.025,140133.375,140135.619,163173.654,163107.919,162615.954,163135.109,162876.254,186132.954,186137.519,185803.124,186142.378,186143.067
24,26225.47,26069.563,26220.725,26224.045,26106.463,26264.33,26226.483,25895.489,26222.601,25881.043,49919.947,50226.716,49890.88,50231.204,49941.689,74226.026,74195.613,73966.721,74236.67,73963.635,98219.651,98219.936,97921.196,98228.892,97749.221,98347.96,98348.142,98247.395,98226.213,98306.263,122241.558,122230.656,121912.975,122275.73,122226.446,146092.694,146234.699,146288.376,146298.82,146249.248,170227.798,170240.011,170239.507,170268.317,170241.444,194242.627,194228.522,194225.407,194356.545,194351.205
25,27250.834,27325.762,27332.851,27163.39,27314.769,27229.305,27139.026,27001.831,27304.438,27315.365,51788.561,52323.166,52432.979,52322.494,52435.287,77331.983,77344.021,77331.492,77331.331,77181.977,102310.686,102038.986,102316.56,102447.084,102451.301,102316.279,101831.529,102359.479,102036.565,102326.129,127329.368,127047.144,127326.219,127336.325,127363.257,152334.931,152331.268,152326.238,152328.771,152319.977,177343.598,177344.61,177324.412,177019.079,177317.545,202419.493,202450.63,202339.799,202336.183,202365.586
26,28418.561,28045.923,28419.729,28406.421,28414.153,27841.686,28034.552,28033.745,28408.681,28411.979,54428.406,54417.588,54038.297,54432.724,54113.927,80551.658,80430.921,80435.583,80419.658,80407.302,106416.079,106414.105,106539.254,106424.726,106544.801,106421.244,106418.016,106417.485,106455.956,106420.58,132427.487,132461.151,132099.247,132423.471,132416.708,158423.596,158408.135,158427.805,158427.329,158427.364,184429.078,184471.083,184424.048,184515.686,184430.982,210228.429,210323.072,210435.6,210549.864,210465.271
27,29325.948,29521.116,29517.713,29312.644,29115.601,29519.755,29109.69,29114.662,29513.15,29506.399,56513.264,56514.615,56194.811,56525.553,56590.47,83526.379,82971.898,83125.421,83560.987,83206.661,110536.344,110497.432,110522.184,110515.288,110584.49,110528.825,110539.452,110558.974,110507.28,110551.65,137607.138,137522.788,137467.986,137192.658,137119.348,164451.435,164519.883,164523.804,164148.307,164587.715,191528.019,191380.313,191531.013,191528.748,191345.098,218520.361,218509.022,218528.247,218510.159,218512.169
28,30601.026,30607.23,30475.288,30604.771,30193.383,30310.707,30200.803,30199.297,30204.767,30614.251,58620.58,58640.561,58611.063,58371.362,58197.027,86413.181,86264.55,86321.604,86630.427,86633.248,114483.141,114622.075,114198.725,114607.386,114616.322,113989.712,114520.591,114609.255,114703.016,114613.647,142630.752,142617.755,142633.787,142620.443,142200.704,170618.508,170609.389,170633.406,170579.179,170210.022,198661.362,198322.256,198659.66,198758.774,198594.29,226626.383,226617.082,226618.322,226625.641,226620.234
29,31696.616,31577.321,31702.695,31280.65,31708.075,31269.527,31703.713,31462.809,31270.747,31706.428,60710.365,60295.326,60580.472,60712.335,60709.132,89715.178,88668.531,89732.596,89700.687,89293.641,118740.272,118716.14,118708.274,118689.929,118837.252,118710.622,118307.571,118700.581,118711.366,118352.177,147728.06,147740.212,147835.789,147716.394,147714.798,176710.004,176753.244,176371.838,176707.479,176718.487,205739.575,205783.386,205709.095,205108.119,205686.582,234753.985,234727.008,234712.537,234725.64,234480.819
30,32670.601,32775.624,32794.56,32816.177,32802.889,32349.213,32788.321,32796.404,32355.774,32582.713,62806.103,62802.187,62891.751,62727.637,62803.954,92826.525,92795.012,92797.232,92808.862,92724.856,122809.493,122778.72,122819.959,122804.256,122735.933,122801.206,122806.248,122804.284,122437.829,122814.432,152810.881,152366.469,152809.369,152848.039,152189.152,182819.077,182813.669,182455.932,182810.158,182828.14,212766.494,212807.662,212812.11,212901.81,212824.489,242144.848,242811.866,242152.33,242805.21,242443.047
31,33898.781,33424.858,33435.974,33205.068,33431.812,33890.852,33895.505,33900.056,33885.568,33434.585,64465.905,64645.292,64610.07,64906.907,64896.442,95907.292,95611.972,95513.069,95885.18,95909.106,126900.132,126915.097,126899.032,126904.91,126939.698,126818.19,126906.527,126909.339,126909.591,126736.775,157835.718,157836.109,158374.126,158017.164,157838.504,188905.093,188664.474,188910.154,188916.546,188915.91,219908.104,219907.427,219441.426,219801.422,219995.493,250910.088,250897.003,250965.762,250903.836,251031.804
32,34977.908,34518.375,34557.279,34512.231,34992.442,34970.977,35022.84,34987.568,34993.434,35000.288,66994.225,66998.533,66347.223,67000.074,66991.905,99016.051,99005.815,98583.291,98878.62,98617.387,130989.894,131010.392,130589.873,131002.566,131008.059,130611.921,130646.77,130992.769,131125.368,130516.028,162867.496,162531.077,163017.044,163003.095,163043.56,195059.985,195130.356,195005.204,194610.101,194598.479,227011.8,226974.715,226846.935,227005.471,226972.064,258611.382,258996.319,258597.215,258591.915,259019.531
33,35891.388,35593.676,36091.754,35600.399,36085.364,35930.744,35602.992,36126.464,36077,36062.564,68590.736,69033.058,69113.712,69030.073,69103.4,102123.573,102096.892,101987.316,102099.683,101601.332,135091.314,135088.186,135108.368,135096.23,135154.93,134676.177,135092.479,135084.338,135170.958,135103.609,168108.074,168101.378,168100.233,168113.92,168109.35,201100.088,200988.55,201100.408,201095.775,200675.309,233424.867,234220.886,233777.802,234097.639,234094.003,267103.386,267086.658,267109.823,267230.992,267139.094
34,36680.226,37077.448,37187.668,36679.073,36675.964,37181.929,37185.553,36678.304,36685.056,37178.282,70677.296,70746.564,70962.066,71788.829,70679.29,105201.386,105191.746,105200.153,104420.81,105192.446,139191.092,138674.05,139189.515,138676.142,138759.329,139163.237,139192.043,138678.492,139224.514,138672.281,173208.925,173243.527,172757.89,173212.062,173008.469,207122.59,206730.428,207196.575,207243.97,206925.351,241202.436,241195.803,241317.843,241189.408,241189.664,275199.173,275166.305,275281.508,274681.291,274684.446
